lga_name, adm_canc_all_1_count, lga_code, ste_name, adm_dig_all_2_asr, adm_canc_all_2_asr, adm_ment_all_1_count, adm_dig_all_1_count, adm_ment_all_2_asr
"Inverell (A)",417,14200,"nsw",4408.1,2078.2,207,789,1279.4
"Jerilderie (A)",64,14250,"nsw",4553.5,2988.9,null,82,null
"Junee (A)",209,14300,"nsw",5472.9,2680.8,null,375,null
"Kempsey (A)",721,14350,"nsw",4677.6,1930.5,448,1531,1546.0
"Kiama (A)",615,14400,"nsw",4703.4,2254.7,343,1111,1629.0
"Kogarah (C)",1349,14450,"nsw",3604.4,2140.5,687,2196,1133.6
"Ku-ring-gai (A)",3353,14500,"nsw",3838.2,2539.2,2466,4689,2161.6
"Narrandera (A)",137,15800,"nsw",4593.2,2028.7,null,290,null
"Kyogle (A)",287,14550,"nsw",3550.7,2442.0,91,377,951.6
"Lachlan (A)",191,14600,"nsw",4361.7,2299.2,110,320,1655.3
"Lake Macquarie (C)",5535,14650,"nsw",3351.2,2363.9,4522,7140,2271.3
"Lane Cove (A)",748,14700,"nsw",3345.9,2388.1,816,1090,2381.7
"Leeton (A)",256,14750,"nsw",4574.7,2039.5,163,540,1486.9
"Leichhardt (A)",1049,14800,"nsw",3560.5,2162.9,1384,1868,2395.6
"Lismore (C)",1261,14850,"nsw",3560.2,2641.3,632,1637,1438.0
"Lithgow (C)",582,14870,"nsw",4728.9,2239.0,354,1105,1657.5
"Liverpool (C)",3033,14900,"nsw",3574.0,1995.8,2062,6203,1126.8
"Liverpool Plains (A)",216,14920,"nsw",4059.8,2142.4,null,356,null
"Lockhart (A)",90,14950,"nsw",5066.1,2663.7,null,165,null
"Maitland (C)",1835,15050,"nsw",3638.3,2711.8,1204,2538,1723.1
"Manly (A)",1212,15150,"nsw",3288.4,2920.7,1147,1388,2592.6
"Marrickville (A)",1324,15200,"nsw",3078.6,1857.7,1930,2401,2206.3
"Mid-Western Regional (A)",558,15270,"nsw",4257.7,2028.1,253,1075,1079.4
"Moree Plains (A)",293,15300,"nsw",4285.9,2074.9,157,603,1145.7
"Mosman (A)",854,15350,"nsw",3538.6,2683.9,747,1065,2537.0
"Murray (A)",265,15500,"nsw",4196.2,2606.8,null,358,null
"Murrumbidgee (A)",52,15550,"nsw",4375.5,2164.6,null,105,null
"Muswellbrook (A)",276,15650,"nsw",4565.8,1898.9,162,728,980.2
"Nambucca (A)",618,15700,"nsw",4283.0,2099.6,251,1008,1276.3
"Narrabri (A)",310,15750,"nsw",4326.4,2198.8,206,597,1555.6
"Barcoo (S)",null,30450,"qld",null,null,null,null,null
"Narromine (A)",177,15850,"nsw",3963.2,2043.7,87,298,1315.4
"Newcastle (C)",3954,15900,"nsw",3528.0,2449.7,3753,5634,2339.3
"North Sydney (A)",1639,15950,"nsw",3249.7,2597.0,1867,2145,2545.2
"Oberon (A)",152,16100,"nsw",3123.0,2416.7,null,180,null
"Orange (C)",818,16150,"nsw",4144.5,1997.9,542,1658,1402.4
"Palerang (A)",227,16180,"nsw",3067.0,1606.7,149,455,1008.7
"Parkes (A)",329,16200,"nsw",4008.7,1907.4,185,634,1261.2
"Parramatta (C)",3106,16250,"nsw",3321.4,1926.6,3684,5686,2046.9
